,dates,T,T_est
171,2017-12-16 01:15:08,,
172,2017-12-16 02:36:48,,
173,2017-12-16 03:58:28,,
174,2017-12-16 05:20:08,,
175,2017-12-16 06:41:48,,
176,2017-12-16 08:03:28,13.184269629629629,11.39209975111541
177,2017-12-16 09:25:08,14.29288888888889,10.757016635366849
178,2017-12-16 10:46:48,12.2256,12.138267836400441
179,2017-12-16 12:08:28,10.878555555555556,9.967060438224248
180,2017-12-16 13:30:08,11.653911111111112,11.333496189117431
181,2017-12-16 14:51:48,12.53,12.670132477368627
182,2017-12-16 16:13:28,12.928488888888888,12.957152975457054
183,2017-12-16 17:35:08,13.425322962962962,12.314682576823008
184,2017-12-16 18:56:48,13.350915555555556,12.14486616313175
185,2017-12-16 20:18:28,,
186,2017-12-16 21:40:08,,
187,2017-12-16 23:01:48,,
188,2017-12-17 00:23:28,,
189,2017-12-17 01:45:08,,
190,2017-12-17 03:06:48,,
191,2017-12-17 04:28:28,,
192,2017-12-17 05:50:08,,
193,2017-12-17 07:11:48,12.681248888888888,10.616518439910424
194,2017-12-17 08:33:28,12.61,10.657870007412773
195,2017-12-17 09:55:08,12.24,12.159179834382876
196,2017-12-17 11:16:48,12.5,11.626057020255498
197,2017-12-17 12:38:28,13.32,12.242036640644073
198,2017-12-17 14:00:08,11.38,12.85278130854879
199,2017-12-17 15:21:48,12.4482,12.136866156544004
200,2017-12-17 16:43:28,12.5924,11.894734331539699
201,2017-12-17 18:05:08,11.593005925925926,10.780441293289876
202,2017-12-17 19:26:48,11.460524444444445,10.870860411233812
203,2017-12-17 20:48:28,,
204,2017-12-17 22:10:08,,
205,2017-12-17 23:31:48,,
206,2017-12-18 00:53:28,,
207,2017-12-18 02:15:08,,
208,2017-12-18 03:36:48,,
209,2017-12-18 04:58:28,,
210,2017-12-18 06:20:08,,
211,2017-12-18 07:41:48,10.268191111111111,11.68463247272923
212,2017-12-18 09:03:28,10.309022222222222,11.017816492489406
213,2017-12-18 10:25:08,10.792716666666667,11.154100806053195
214,2017-12-18 11:46:48,10.29,12.336357636111122
215,2017-12-18 13:08:28,11.0038,11.67062369386355
216,2017-12-18 14:30:08,10.81,11.84530338219234
217,2017-12-18 15:51:48,8.52,9.333627788083895
218,2017-12-18 17:13:28,9.14,11.342867289270673
219,2017-12-18 18:35:08,9.284017037037037,11.458267117281096
220,2017-12-18 19:56:48,9.464591111111112,11.28914028660381
221,2017-12-18 21:18:28,,
222,2017-12-18 22:40:08,,
223,2017-12-19 00:01:48,,
224,2017-12-19 01:23:28,,
225,2017-12-19 02:45:08,,
226,2017-12-19 04:06:48,,
227,2017-12-19 05:28:28,,
228,2017-12-19 06:50:08,,
229,2017-12-19 08:11:48,11.089757777777779,9.76699881050824
230,2017-12-19 09:33:28,9.92,9.924092935664314
231,2017-12-19 10:55:08,11.309022222222222,10.143572632755552
232,2017-12-19 12:16:48,14.031600000000001,11.989044887678963
233,2017-12-19 13:38:28,11.855022222222223,11.362243811999049
234,2017-12-19 15:00:08,14.646177777777778,12.498840698174067
235,2017-12-19 16:21:48,15.426866666666667,13.819225085633143
236,2017-12-19 17:43:28,14.439576296296297,11.23638996157036
237,2017-12-19 19:05:08,14.497650370370371,11.203139706457396
238,2017-12-19 20:26:48,,
239,2017-12-19 21:48:28,,
240,2017-12-19 23:10:08,,
241,2017-12-20 00:31:48,,
242,2017-12-20 01:53:28,,
243,2017-12-20 03:15:08,,
244,2017-12-20 04:36:48,,
245,2017-12-20 05:58:28,,
246,2017-12-20 07:20:08,15.020317037037037,10.903887410440715
247,2017-12-20 08:41:48,15.07,11.71697087585926
248,2017-12-20 10:03:28,14.529555555555556,11.74058985710144
249,2017-12-20 11:25:08,14.66,10.984201312065125
250,2017-12-20 12:46:48,14.28,9.432131052017212
251,2017-12-20 14:08:28,14.19,9.44415105666433
252,2017-12-20 15:30:08,12.75,12.302484844412122
253,2017-12-20 16:51:48,13.949466666666666,12.125220026288714
254,2017-12-20 18:13:28,13.724459259259259,12.205860869296918
255,2017-12-20 19:35:08,13.620107407407406,12.167878003623247
256,2017-12-20 20:56:48,,
257,2017-12-20 22:18:28,,
258,2017-12-20 23:40:08,,
259,2017-12-21 01:01:48,,
260,2017-12-21 02:23:28,,
261,2017-12-21 03:45:08,,
262,2017-12-21 05:06:48,,
263,2017-12-21 06:28:28,,
264,2017-12-21 07:50:08,12.680940740740741,11.82603221256021
265,2017-12-21 09:11:48,12.421533333333334,11.605748534202576
266,2017-12-21 10:33:28,12.573733333333333,10.843756492648806
267,2017-12-21 11:55:08,11.99,11.001337655952998
268,2017-12-21 13:16:48,10.3828,11.740163794585637
269,2017-12-21 14:38:28,11.79,12.32163376893316
